benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,40,2,0.012687766925939476,0.0005422305587770526,0.10028365989289639,0.05750183620258525,6.294160976136201e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,41,0,0.021389857302384418,0.0008699217405300712,0.12523426280246164,0.07768539150829573,0.0005689496155444835,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,41,1,0.02709069271279262,0.0010318558607656089,0.13863894696630308,0.061965620152439276,0.00046172249750509335,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,4,3,20,18,6,41,2,0.010804179758751746,0.00024402893063531453,0.06840114066548185,0.04734934297448737,1.9060662642503568e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,42,0,0.05000116302450961,0.0033363405831146834,0.24701218038246933,0.09827516132819408,0.005401869568015229,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,42,1,0.07060769814274548,0.010126719869284234,0.42694541746014886,0.2600102958402244,0.01019134985489754,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,42,2,0.12504086577990992,0.018304150407119482,0.5923218789858993,0.23514085112100291,3.0042592633824045e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,42,3,0.02617937200640711,0.002660551722349821,0.22842823539710913,0.12962612890025987,3.330211906539715e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,43,0,0.044529107493282954,0.0041703954525398705,0.27834827373989535,0.14227727945307403,0.0016414184123679926,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,43,1,0.062115393341775196,0.006576310916102125,0.34972357157153583,0.23587698000517568,0.0024129313835674904,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,43,2,0.08609610772314487,0.011951336995874485,0.4649841281233283,0.1999227772777145,2.6003581183047704e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,43,3,0.021044915873382683,0.00206373015521826,0.19660960901177613,0.14188057442122887,2.1699407018646675e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,44,0,0.05146702611176887,0.0034174453745980937,0.2832184770560566,0.13798125932423821,0.002884009589366127,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,44,1,0.030596435038014094,0.001259249559873451,0.17234888210056504,0.10004271349745356,0.0008173423902965438,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,44,2,0.03233057522438712,0.0018693263838203639,0.19023435763601115,0.11315396228052912,3.105839090875132e-17,0.05555555555555555
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,6,4,4,20,20,5,44,3,0.05718538577632294,0.01951875528913057,0.5933539184679133,0.426290230568864,3.643791963499033e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,45,0,0.043832945073034445,0.0024055127518869076,0.21526553374942367,0.09059727098265632,0.0007393181475736019,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,45,1,0.05695420114196506,0.004708428910552145,0.2911757084428407,0.1597362658455887,0.007910413631681573,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,45,2,0.0507944884798517,0.010489973263266665,0.4556384524745802,0.3522215382473141,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,46,0,0.04456410732048757,0.004909507435768236,0.2979270315179349,0.18919960220705623,0.0007934966803985755,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,46,1,0.028569226824602847,0.0020146184404339763,0.19614668616334996,0.15771068105046934,3.805098905099009e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,46,2,0.011615536455604838,0.0012382904901489377,0.1538434606191212,0.15021714654602208,3.112937339818962e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,4,3,20,18,6,47,0,0.04688808344183059,0.004287501720302525,0.28009646209850253,0.17119953886610012,0.0008448403792836179,0.0
