benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,-3.655622452490757e-18,8.603091256147057e-35,6.510897604952913e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.031132798982151842,0.0018727260383054058,0.03113279898215184,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.022421009854394602,0.00036517443527943973,0.022421009854394606,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,2.4893428821904694e-18,1.667819073118796e-33,3.0309145095100325e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-6.5052130349130266e-18,6.207080370082007e-34,1.7925475918427008e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,4.148880313377863e-17,2.9457574966446303e-33,4.5536491244391186e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-1.2466745169915807e-18,7.872070284721316e-34,2.1964590984666203e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,4,RX,0,12,layer_000_wire_004_RX,3,-0.023607742833804443,0.002273510805407742,0.028792105381947014,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,4,RY,1,13,layer_000_wire_004_RY,3,-0.0606895951324436,0.009767103515135486,0.06068959513244359,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,4,RZ,2,14,layer_000_wire_004_RZ,3,1.0795023329163051e-17,2.5758847525197416e-34,1.392948023883306e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,5,RX,0,15,layer_000_wire_005_RX,3,6.64977332457776e-18,6.577752922041302e-34,1.9949319973733282e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,5,RY,1,16,layer_000_wire_005_RY,3,1.1203422449016882e-18,2.2252499892516175e-34,1.1673243390427265e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,6,1,1,same_entangling_gate_count,0,5,RZ,2,17,layer_000_wire_005_RZ,3,-4.2193065272835874e-18,1.0069083918828512e-36,4.2193065272835874e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,9.830099697201907e-18,2.8989258017078705e-34,9.830099697201907e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,-2.42861286636753e-17,8.06483164212155e-34,2.42861286636753e-17,1.0
