benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,5,RY,1,16,layer_000_wire_005_RY,0.0005373131220486171,0.0005373131220486171,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,3,0,0,5,RZ,2,17,layer_000_wire_005_RZ,-7.190029653489563e-18,7.190029653489563e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,0,RX,0,0,layer_000_wire_000_RX,-0.0025252407847576696,0.0025252407847576696,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,0,RY,1,1,layer_000_wire_000_RY,0.01091690021311262,0.01091690021311262,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,0,RZ,2,2,layer_000_wire_000_RZ,4.733181272908647e-18,4.733181272908647e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,1,RX,0,3,layer_000_wire_001_RX,0.011357936956731287,0.011357936956731287,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,1,RY,1,4,layer_000_wire_001_RY,0.08300128183470303,0.08300128183470303,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,1,RZ,2,5,layer_000_wire_001_RZ,2.0434051835223535e-17,2.0434051835223535e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,2,RX,0,6,layer_000_wire_002_RX,-0.04305944871134404,0.04305944871134404,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,2,RY,1,7,layer_000_wire_002_RY,-0.014675068545475584,0.014675068545475584,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,2,RZ,2,8,layer_000_wire_002_RZ,4.292475570129308e-18,4.292475570129308e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,3,RX,0,9,layer_000_wire_003_RX,7.51992519715688e-05,7.51992519715688e-05,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,3,RY,1,10,layer_000_wire_003_RY,-0.01947399952184715,0.01947399952184715,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,3,RZ,2,11,layer_000_wire_003_RZ,6.398160593272641e-18,6.398160593272641e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,4,RX,0,12,layer_000_wire_004_RX,0.00010580287125634691,0.00010580287125634691,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,4,RY,1,13,layer_000_wire_004_RY,0.00023525465541305787,0.00023525465541305787,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,4,RZ,2,14,layer_000_wire_004_RZ,-6.799117619322111e-18,6.799117619322111e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,5,RX,0,15,layer_000_wire_005_RX,5.735325831679114e-07,5.735325831679114e-07,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,5,RY,1,16,layer_000_wire_005_RY,-2.1367139106456823e-06,2.1367139106456823e-06,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,4,1,0,5,RZ,2,17,layer_000_wire_005_RZ,-5.301568753744322e-18,5.301568753744322e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,0,RX,0,0,layer_000_wire_000_RX,-0.05294241482752056,0.05294241482752056,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,0,RY,1,1,layer_000_wire_000_RY,-0.012305171161889138,0.012305171161889138,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,0,RZ,2,2,layer_000_wire_000_RZ,-7.003080315700971e-17,7.003080315700971e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,1,RX,0,3,layer_000_wire_001_RX,-0.0013604724819450285,0.0013604724819450285,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,1,RY,1,4,layer_000_wire_001_RY,-0.0015188750347239917,0.0015188750347239917,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,1,RZ,2,5,layer_000_wire_001_RZ,3.210299667801979e-17,3.210299667801979e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,2,RX,0,6,layer_000_wire_002_RX,-0.011080528005763958,0.011080528005763958,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,2,RY,1,7,layer_000_wire_002_RY,-0.0016453740366473818,0.0016453740366473818,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,2,RZ,2,8,layer_000_wire_002_RZ,-1.778641705497162e-17,1.778641705497162e-17,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,3,RX,0,9,layer_000_wire_003_RX,-0.008274619263132992,0.008274619263132992,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,3,RY,1,10,layer_000_wire_003_RY,-0.002244106654849748,0.002244106654849748,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,3,RZ,2,11,layer_000_wire_003_RZ,4.14932098934323e-18,4.14932098934323e-18,True
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,4,RX,0,12,layer_000_wire_004_RX,0.0026531743804694627,0.0026531743804694627,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,4,RY,1,13,layer_000_wire_004_RY,-0.01060096245161133,0.01060096245161133,False
random_bp,expectation_value,same_entangling_gate_count,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,6,1,1,5,6,6,5,2,0,4,RZ,2,14,layer_000_wire_004_RZ,-3.131732080714471e-18,3.131732080714471e-18,True
